task_id	task_type	model_id	context	track	seed	best_epoch	validation_threshold	accuracy	precision	recall	specificity	f1	balanced_accuracy	mcc	auroc	auprc	brier	ece	tp	tn	fp	fn	rc_test_samples	rc_cosine_mean	rc_l2_mean	selected_alpha	pearson_macro	spearman_macro	r2_macro	mae_macro	rmse_macro	panel_code
promoter_TSS	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	13	81	0.4411616623401642	0.79296875	0.8676470588235294	0.69140625	0.89453125	0.7695652173913045	0.79296875	0.5984127209279335	0.8814811706542969	0.8892438338390596	0.15835064805273064	0.1212425890264596	354	458	54	158	1024	1.0	1.1205673217773438e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	29	81	0.4411616623401642	0.79296875	0.8676470588235294	0.69140625	0.89453125	0.7695652173913045	0.79296875	0.5984127209279335	0.8814811706542969	0.8892438338390596	0.15835064805273064	0.1212425890264596	354	458	54	158	1024	1.0	1.1205673217773438e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	43	81	0.4411616623401642	0.79296875	0.8676470588235294	0.69140625	0.89453125	0.7695652173913045	0.79296875	0.5984127209279335	0.8814811706542969	0.8892438338390596	0.15835064805273064	0.1212425890264596	354	458	54	158	1024	1.0	1.1205673217773438e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	71	81	0.4411616623401642	0.79296875	0.8676470588235294	0.69140625	0.89453125	0.7695652173913045	0.79296875	0.5984127209279335	0.8814811706542969	0.8892438338390596	0.15835064805273064	0.1212425890264596	354	458	54	158	1024	1.0	1.1205673217773438e-05							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	97	81	0.4411616623401642	0.79296875	0.8676470588235294	0.69140625	0.89453125	0.7695652173913045	0.79296875	0.5984127209279335	0.8814811706542969	0.8892438338390596	0.15835064805273064	0.1212425890264596	354	458	54	158	1024	1.0	1.1205673217773438e-05							A2
TES_polyA	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	13	73	0.5795396566390991	0.802734375	0.9166666666666666	0.666015625	0.939453125	0.7714932126696833	0.802734375	0.629457519548504	0.8987197875976562	0.9075286207470065	0.1353488992944898	0.08408119132201364	341	481	31	171	1024	1.0	6.9141387939453125e-06							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	29	73	0.5795396566390991	0.802734375	0.9166666666666666	0.666015625	0.939453125	0.7714932126696833	0.802734375	0.629457519548504	0.8987197875976562	0.9075286207470065	0.1353488992944898	0.08408119132201364	341	481	31	171	1024	1.0	6.9141387939453125e-06							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	43	73	0.5795396566390991	0.802734375	0.9166666666666666	0.666015625	0.939453125	0.7714932126696833	0.802734375	0.629457519548504	0.8987197875976562	0.9075286207470065	0.1353488992944898	0.08408119132201364	341	481	31	171	1024	1.0	6.9141387939453125e-06							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	71	73	0.5795396566390991	0.802734375	0.9166666666666666	0.666015625	0.939453125	0.7714932126696833	0.802734375	0.629457519548504	0.8987197875976562	0.9075286207470065	0.1353488992944898	0.08408119132201364	341	481	31	171	1024	1.0	6.9141387939453125e-06							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	2048	downstream_cold_genus_pretraining_seen_genus	97	73	0.5795396566390991	0.802734375	0.9166666666666666	0.666015625	0.939453125	0.7714932126696833	0.802734375	0.629457519548504	0.8987197875976562	0.9075286207470065	0.1353488992944898	0.08408119132201364	341	481	31	171	1024	1.0	6.9141387939453125e-06							A3
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	13	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	13	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	29	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	29	89	0.71	0.8134765625	0.8848920863309353	0.720703125	0.90625	0.7944025834230356	0.8134765625	0.638032291488947	0.8867683410644531	0.9014501647036124	0.1390686991910608	0.06505764050143627	369	464	48	143	1024	1.0	2.6808804250322282e-05							A1
