task_id	task_label	method	method_label	source_method	train_fraction	n_seeds	train_samples_mean	validation_samples	test_samples	balanced_accuracy_std	rc_mcc_mean	rc_prediction_agreement_mean	rc_embedding_cosine_mean	accuracy_mean	balanced_accuracy_mean	mcc_mean	auroc_mean	auprc_mean	f1_mean	brier_mean	ece_mean
TES_polyA	TES / poly(A)	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	0.1	5	414.0	1024	1024	0.008429041260562533	-0.08214043554669516	0.5060546875	0.9474185705184937	0.5986328125	0.5986328125	0.21323856501044453	0.6464942932128906	0.6248368238240503	0.6376354076650659	0.3222767711665338	0.28402437941276776
TES_polyA	TES / poly(A)	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	0.1	5	414.0	1024	1024	0.01987730538295142	-0.053998390577299174	0.521484375	0.9756494760513306	0.621484375	0.621484375	0.24661672237511184	0.6654354095458984	0.6483179945083066	0.6488077608414643	0.2931681032384205	0.2387710564112305
TES_polyA	TES / poly(A)	step14000	CropGenome-FM step14000	step14000	0.1	5	414.0	1024	1024	0.02045659526996275	0.23771405246825986	1.0	1.0	0.6166015625	0.6166015625	0.23771405246825986	0.6527130126953125	0.6495847045813544	0.5779987822701174	0.2829915528115349	0.20743614340875188
TES_polyA	TES / poly(A)	step17000	CropGenome-FM step17000	step17000	0.1	5	414.0	1024	1024	0.015301210562492576	0.19140755574526888	1.0	1.0	0.591796875	0.591796875	0.19140755574526888	0.632113265991211	0.6301159645417267	0.5474347284708915	0.3131241163709745	0.26423678133564893
TES_polyA	TES / poly(A)	best_kmer	Best k-mer	3mer_linear_probe	1.0	5	4096.0	1024	1024	0.0				0.62890625	0.62890625	0.26599283575409155	0.6919212341308594	0.6708006890170043	0.6695652173913044	0.2246387172644655	0.05231449106213405
TES_polyA	TES / poly(A)	random_init	Random init	random_init	1.0	5	4096.0	1024	1024	0.0	0.1573399484396763	1.0	1.0	0.576171875	0.576171875	0.1573399484396763	0.6117515563964844	0.5988502737276056	0.6232638888888888	0.28505177432919204	0.19864249123793343
TES_polyA	TES / poly(A)	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	1.0	5	4096.0	1024	1024	0.0	-0.06862494454030081	0.498046875	0.9474185705184937	0.6181640625	0.6181640625	0.2405043840191981	0.65606689453125	0.6537538244947402	0.6505808757819481	0.2651187727943487	0.1744044962418343
TES_polyA	TES / poly(A)	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	1.0	5	4096.0	1024	1024	0.0	-0.14421837050662165	0.41015625	0.9756494760513306	0.6591796875	0.6591796875	0.32764034208147746	0.7097969055175781	0.6991033782638051	0.6951965065502185	0.22865387277553134	0.10970760455575143
TES_polyA	TES / poly(A)	step14000	CropGenome-FM step14000	step14000	1.0	5	4096.0	1024	1024	0.0	0.3046901635502409	1.0	1.0	0.638671875	0.638671875	0.3046901635502409	0.6920433044433594	0.705482842353411	0.5443349753694581	0.23705060389265337	0.10910654929273278
TES_polyA	TES / poly(A)	step17000	CropGenome-FM step17000	step17000	1.0	5	4096.0	1024	1024	0.0	0.29837319989576827	1.0	1.0	0.6455078125	0.6455078125	0.29837319989576827	0.694549560546875	0.700643372606333	0.601536772777168	0.23653503313117769	0.1152976822945675
